,noise_proportion_corrected(beta),noise_ratio(alpha),noise_type(t),mean,std
343,80.0%,0.55,NCAR,0.2478333333333333,0.15656646343091604
344,80.0%,0.55,NNAR,0.26633333333333337,0.08256296795877023
345,80.0%,0.6,NAR,0.3958833333333334,0.09254623106889588
346,80.0%,0.6,NCAR,0.31895000000000007,0.17446120752486632
347,80.0%,0.6,NNAR,0.31358333333333327,0.09854108921849716
348,80.0%,0.65,NAR,0.47844999999999993,0.08619388229351074
349,80.0%,0.65,NCAR,0.37306666666666666,0.1574868211964884
350,80.0%,0.65,NNAR,0.4230833333333333,0.07651606585112261
351,90.0%,0.05,NAR,0.015316666666666668,0.020395014322020035
352,90.0%,0.05,NCAR,0.013566666666666668,0.01797878698937154
353,90.0%,0.05,NNAR,0.011316666666666668,0.019445983245077018
354,90.0%,0.1,NAR,0.027816666666666667,0.03737772786339326
355,90.0%,0.1,NCAR,0.03135,0.0377418979659074
356,90.0%,0.1,NNAR,0.03283333333333333,0.036755560999225896
357,90.0%,0.15,NAR,0.04128333333333333,0.05450904438292997
358,90.0%,0.15,NCAR,0.04323333333333333,0.052154732210548484
359,90.0%,0.15,NNAR,0.04238333333333332,0.045369305158606
360,90.0%,0.2,NAR,0.05636666666666667,0.06202598639687842
361,90.0%,0.2,NCAR,0.054799999999999995,0.06180860335160358
362,90.0%,0.2,NNAR,0.06238333333333332,0.06661516904674518
363,90.0%,0.25,NAR,0.07263333333333334,0.08196045443965048
364,90.0%,0.25,NCAR,0.07175000000000001,0.08336642733676759
365,90.0%,0.25,NNAR,0.07953333333333332,0.08727295008243938
366,90.0%,0.3,NAR,0.09336666666666667,0.10331129167959205
367,90.0%,0.3,NCAR,0.08496666666666666,0.09157123977550478
368,90.0%,0.3,NNAR,0.09245,0.09099804374555115
369,90.0%,0.35,NAR,0.114,0.10704196727742206
370,90.0%,0.35,NCAR,0.10631666666666667,0.10940359347099991
371,90.0%,0.35,NNAR,0.11211666666666666,0.11022959450958317
372,90.0%,0.4,NAR,0.14185,0.10192899404774977
